2019-06-05 23:50:44,547 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter06_Maven:chapter06_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\test\pom.xml.
2019-06-05 23:50:44,547 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Chapter03_Maven:Chapter03_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\Chapter03_Maven\pom.xml.
2019-06-05 23:50:45,248 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:45,249 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\test\src\main\resources
2019-06-05 23:50:45,250 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:45,251 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\test\src\test\resources
2019-06-05 23:50:45,972 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Chapter03_Maven:Chapter03_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\Chapter03_Maven\pom.xml.
2019-06-05 23:50:46,030 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter01_Maven:chapter01_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter01_Maven\pom.xml.
2019-06-05 23:50:46,048 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter02_Maven:chapter02_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter02_Maven\pom.xml.
2019-06-05 23:50:46,067 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter02_SpringMaven:chapter02_SpringMaven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter02_SpringMaven\pom.xml.
2019-06-05 23:50:46,092 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter04_Maven:chapter04_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter04_Maven\pom.xml.
2019-06-05 23:50:46,145 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter05_Maven:chapter05_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter05_Maven\pom.xml.
2019-06-05 23:50:46,178 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter06_Maven:chapter06_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter06_Maven\pom.xml.
2019-06-05 23:50:46,375 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exam:springproject:1.0.0-BUILD-SNAPSHOT @ D:\spring\workspace\springproject\pom.xml.
2019-06-05 23:50:46,437 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter06_Maven:chapter06_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\test\pom.xml.
